id,title,url,publish_time,description,transcript,cover_text,hashtags,likes,comments,shares,favorites,duration
001,ChatGPT又更新了！这次真的能替代90%的工作,https://www.douyin.com/video/example001,2024-12-15,OpenAI最新发布...,"大家好，今天给大家带来一个重磅消息...",ChatGPT重大更新！90%的工作将被替代？,"ChatGPT,AI,人工智能,科技,打工人",128000,8500,15000,32000,02:35
002,实测！用AI一天赚了500块，方法公开,https://www.douyin.com/video/example002,2024-12-10,普通人用AI赚钱的真实案例...,"你敢相信吗？我用AI一天赚了500块钱...",AI赚钱实测！一天500块,"AI赚钱,副业,ChatGPT,普通人赚钱,AI变现",256000,18000,45000,68000,03:12
003,千万别用AI做这5件事，否则你会后悔,https://www.douyin.com/video/example003,2024-12-05,AI虽然强大...,"AI确实很强大，但是有5件事你千万不要用AI做...",千万别用AI做这5件事！,"AI,ChatGPT,避坑,科技,生活",89000,12000,8000,15000,02:48
004,2025年最值得学的3个AI工具，错过再等一年,https://www.douyin.com/video/example004,2024-11-28,2025年即将到来...,"2025年马上就要来了，今天给大家盘点3个最值得学的AI工具...",2025年必学3个AI工具！,"AI工具,2025,Midjourney,Claude,Runway",95000,6500,12000,28000,03:05
005,用AI写了一个小程序，竟然真的能赚钱,https://www.douyin.com/video/example005,2024-11-20,零基础用AI开发小程序...,"我一个完全不会编程的人，用AI写了一个小程序...",零基础用AI写小程序赚钱,"AI编程,小程序,副业,AI赚钱,Cursor",156000,15000,28000,45000,04:20
006,AI不会取代你，但会用AI的人会,https://www.douyin.com/video/example006,2024-11-15,关于AI取代人类工作...,"最近很多人在讨论AI会不会取代人类的工作...",AI不会取代你，但会用AI的人会,"AI,职场,人工智能,ChatGPT,未来",72000,9500,6000,12000,02:55
007,我用AI做了一个月自媒体，结果...,https://www.douyin.com/video/example007,2024-11-08,用AI辅助做自媒体一个月...,"我用AI辅助做自媒体已经一个月了...",AI做自媒体一个月，涨粉3万,"AI自媒体,涨粉,AI赚钱,自媒体运营,ChatGPT",198000,22000,35000,52000,03:45
008,为什么我不建议你现在学Python,https://www.douyin.com/video/example008,2024-11-01,在AI时代...,"今天我要说一个可能得罪很多人的话...",不建议学Python？AI时代新选择,"Python,AI编程,Cursor,学习方法,AI",145000,25000,18000,38000,03:20
009,揭秘！那些月入10万的AI博主是怎么做的,https://www.douyin.com/video/example009,2024-10-25,深入分析月入10万的AI博主...,"你知道那些月入10万的AI博主是怎么做的吗？",月入10万AI博主的秘密,"AI博主,自媒体赚钱,AI变现,运营方法,干货",168000,19000,25000,42000,03:50
010,这个AI工具免费用，99%的人不知道,https://www.douyin.com/video/example010,2024-10-18,一个完全免费的AI工具...,"今天给大家推荐一个完全免费的AI工具...",免费AI工具！99%的人不知道,"AI工具,Kimi,免费,AI助手,推荐",112000,8000,20000,35000,02:40
